Country,Type,Event,Date.effective,Link,X
West Virginia,Lockdown,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_West_Virginia#Government_responses,placeholder
West Virginia,Self-isolating if ill,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_West_Virginia#Government_responses,placeholder
West Virginia,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_West_Virginia#Government_responses,placeholder
Wisconsin,Schools + Universities,placeholder,18.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin#Government_response,placeholder
Wisconsin,travel_restrictions,placeholder,25.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin#Government_response,placeholder
Wisconsin,Public events,placeholder,19.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin#Government_response,placeholder
Wisconsin,sport,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin#Government_response,placeholder
Wisconsin,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin#Government_response,placeholder
Wisconsin,Self-isolating if ill,placeholder,19.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin#Government_response,placeholder
Wisconsin,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin#Government_response,placeholder
Wyoming,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wyoming#Impact_on_sports,placeholder
Wyoming,travel_restrictions,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wyoming#Impact_on_sports,placeholder
Wyoming,Public events,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wyoming#Impact_on_sports,placeholder
Wyoming,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wyoming#Impact_on_sports,placeholder
Wyoming,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wyoming#Impact_on_sports,placeholder
Wyoming,Self-isolating if ill,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wyoming#Impact_on_sports,placeholder
Wyoming,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wyoming#Impact_on_sports,placeholder
